id,qtype,defects,action
DP-00083,0,choices_ad_mismatch|grounding_no_url,kept
DP-00086,0,choices_ad_mismatch|grounding_no_url,kept
DP-00085,0,choices_ad_mismatch|grounding_no_url,kept
DP-00087,0,grounding_no_url,kept
DP-00088,0,choices_ad_mismatch|grounding_no_url,kept
DP-00091,0,grounding_no_url,kept
DP-00092,0,choices_ad_mismatch|grounding_no_url,kept
DP-00089,0,grounding_no_url,kept
DP-00090,0,choices_ad_mismatch|grounding_no_url,kept
DP-00095,0,choices_ad_mismatch|grounding_no_url,kept
DP-00093,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00094,0,choices_ad_mismatch|grounding_no_url,kept
DP-00096,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00097,0,choices_ad_mismatch|grounding_no_url,kept
DP-00098,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00099,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00100,0,choices_ad_mismatch|grounding_no_url,kept
DP-00102,0,choices_ad_mismatch|grounding_no_url,kept
DP-00101,0,grounding_no_url,kept
DP-00103,0,grounding_no_url,kept
DP-00104,0,choices_ad_mismatch|grounding_no_url,kept
DP-00105,0,grounding_no_url,kept
DP-00106,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00107,0,choices_ad_mismatch|grounding_no_url,kept
DP-00108,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00109,0,choices_ad_mismatch|grounding_no_url,kept
DP-00110,0,choices_ad_mismatch|grounding_no_url,kept
DP-00111,0,grounding_no_url,kept
DP-00112,0,choices_ad_mismatch|grounding_no_url,kept
DP-00113,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00114,0,ambiguous_answer|choices_ad_mismatch|grounding_no_url,quarantine
DP-00115,0,choices_ad_mismatch|grounding_no_url,kept
DP-00116,0,choices_ad_mismatch|grounding_no_url,kept
DP-00117,0,choices_ad_mismatch|grounding_no_url,kept
DP-00118,0,grounding_no_url,kept
DP-00119,0,grounding_no_url,kept
DP-00120,0,choices_ad_mismatch|grounding_no_url,kept
DP-00121,0,grounding_no_url,kept
DP-00123,0,choices_ad_mismatch|grounding_no_url,kept
DP-00122,0,grounding_no_url,kept
DP-00124,0,grounding_no_url,kept
DP-00127,0,choices_ad_mismatch|grounding_no_url,kept
DP-00126,0,grounding_no_url,kept
DP-00125,0,grounding_no_url,kept
DP-00130,0,ambiguous_answer|grounding_no_url,quarantine
DP-00128,0,grounding_no_url,kept
DP-00129,0,grounding_no_url,kept
DP-00131,0,choices_ad_mismatch|grounding_no_url,kept
DP-00132,0,grounding_no_url,kept
DP-00134,0,grounding_no_url,kept
DP-00133,0,grounding_no_url,kept
DP-00135,0,grounding_no_url,kept
DP-00136,0,grounding_no_url,kept
DP-00138,0,grounding_no_url,kept
DP-00139,0,grounding_no_url,kept
DP-00137,0,grounding_no_url,kept
DP-00140,0,grounding_no_url,kept
DP-00141,0,grounding_no_url,kept
DP-00142,0,grounding_no_url,kept
DP-00143,0,grounding_no_url,kept
DP-00144,0,grounding_no_url,kept
DP-00145,0,grounding_no_url,kept
DP-00146,0,grounding_no_url,kept
DP-00147,0,grounding_no_url,kept
DP-00148,0,grounding_no_url,kept
DP-00149,0,grounding_no_url,kept
DP-00150,0,grounding_no_url,kept
DP-00151,0,grounding_no_url,kept
DP-00152,0,grounding_no_url,kept
DP-00153,0,grounding_no_url,kept
DP-00154,0,grounding_no_url,kept
DP-00156,0,grounding_no_url,kept
DP-00155,0,grounding_no_url,kept
DP-00157,0,grounding_no_url,kept
DP-00158,0,grounding_no_url,kept
DP-00160,0,grounding_no_url,kept
DP-00162,0,grounding_no_url,kept
DP-00159,0,grounding_no_url,kept
DP-00164,0,grounding_no_url,kept
DP-00161,0,grounding_no_url,kept
DP-00165,0,grounding_no_url,kept
DP-00166,0,grounding_no_url,kept
DP-00163,0,grounding_no_url,kept
DP-00167,0,grounding_no_url,kept
DP-00168,0,grounding_no_url,kept
DP-00169,0,grounding_no_url,kept
DP-00170,0,grounding_no_url,kept
DP-00171,0,grounding_no_url,kept
DP-00173,0,grounding_no_url,kept
DP-00172,0,grounding_no_url,kept
DP-00174,0,grounding_no_url,kept
DP-00175,0,grounding_no_url,kept
DP-00176,0,grounding_no_url,kept
DP-00177,0,grounding_no_url,kept
DP-00178,0,grounding_no_url,kept
DP-00179,0,grounding_no_url,kept
DP-00180,0,ambiguous_answer|grounding_no_url,quarantine
DP-00181,0,grounding_no_url,kept
DP-00183,0,grounding_no_url,kept
DP-00182,0,grounding_no_url,kept
DP-00184,0,grounding_no_url,kept
DP-00186,0,ambiguous_answer|grounding_no_url,quarantine
DP-00185,0,grounding_no_url,kept
DP-00187,0,grounding_no_url,kept
DP-00190,0,grounding_no_url,kept
DP-00191,0,grounding_no_url,kept
DP-00188,0,grounding_no_url,kept
DP-00189,0,grounding_no_url,kept
DP-00192,0,grounding_no_url,kept
DP-00194,0,grounding_no_url,kept
DP-00193,0,grounding_no_url,kept
DP-00195,0,grounding_no_url,kept
DP-00196,0,grounding_no_url,kept
DP-00197,0,grounding_no_url,kept
DP-00198,0,grounding_no_url,kept
DP-00199,0,grounding_no_url,kept
DP-00200,0,grounding_no_url,kept
DP-00201,0,grounding_no_url,kept
DP-00202,0,grounding_no_url,kept
DP-00203,0,grounding_no_url,kept
DP-00204,0,grounding_no_url,kept
DP-00205,0,grounding_no_url,kept
DP-00206,0,grounding_no_url,kept
DP-00207,0,grounding_no_url,kept
DP-00208,0,grounding_no_url,kept
DP-00209,0,grounding_no_url,kept
DP-00210,0,grounding_no_url,kept
DP-00211,0,grounding_no_url,kept
DP-00212,0,grounding_no_url,kept
DP-00214,0,grounding_no_url,kept
DP-00213,0,grounding_no_url,kept
DP-00215,0,grounding_no_url,kept
DP-00216,0,grounding_no_url,kept
DP-00218,0,grounding_no_url,kept
DP-00217,0,grounding_no_url,kept
DP-00219,0,grounding_no_url,kept
DP-00221,0,grounding_no_url,kept
DP-00220,0,grounding_no_url,kept
DP-00222,0,ambiguous_answer|grounding_no_url,quarantine
DP-00223,0,grounding_no_url,kept
DP-00224,0,grounding_no_url,kept
DP-00225,0,grounding_no_url,kept
DP-00226,0,grounding_no_url,kept
DP-00227,0,grounding_no_url,kept
DP-00229,0,grounding_no_url,kept
DP-00228,0,grounding_no_url,kept
DP-00230,0,grounding_no_url,kept
DP-00231,0,grounding_no_url,kept
DP-00232,0,grounding_no_url,kept
DP-00233,0,grounding_no_url,kept
DP-00234,0,grounding_no_url,kept
DP-00235,0,grounding_no_url,kept
DP-00236,0,grounding_no_url,kept
DP-00237,0,grounding_no_url,kept
DP-00240,0,ambiguous_answer|grounding_no_url,quarantine
DP-00238,0,grounding_no_url,kept
DP-00239,0,grounding_no_url,kept
DP-00241,0,grounding_no_url,kept
DP-00242,0,grounding_no_url,kept
DP-00243,0,grounding_no_url,kept
DP-00244,0,grounding_no_url,kept
DP-00245,0,grounding_no_url,kept
DP-00246,0,grounding_no_url,kept
DP-00247,0,grounding_no_url,kept
DP-00248,0,grounding_no_url,kept
DP-00249,0,grounding_no_url,kept
DP-00251,0,grounding_no_url,kept
DP-00250,0,grounding_no_url,kept
DP-00252,0,grounding_no_url,kept
DP-00253,0,grounding_no_url,kept
DP-00254,0,grounding_no_url,kept
DP-00255,0,grounding_no_url,kept
DP-00256,0,grounding_no_url,kept
DP-00257,0,grounding_no_url,kept
DP-00258,0,grounding_no_url,kept
DP-00259,0,grounding_no_url,kept
DP-00260,0,grounding_no_url,kept
DP-00261,0,grounding_no_url,kept
DP-00262,0,grounding_no_url,kept
DP-00263,0,grounding_no_url,kept
DP-00264,0,grounding_no_url,kept
DP-00265,0,grounding_no_url,kept
DP-00266,0,grounding_no_url,kept
DP-00267,0,grounding_no_url,kept
DP-00268,0,grounding_no_url,kept
DP-00269,0,grounding_no_url,kept
DP-00270,0,grounding_no_url,kept
DP-00272,0,grounding_no_url,kept
DP-00271,0,grounding_no_url,kept
DP-00273,0,grounding_no_url,kept
DP-00275,0,grounding_no_url,kept
DP-00274,0,grounding_no_url,kept
DP-00276,0,grounding_no_url,kept
DP-00279,0,grounding_no_url,kept
DP-00277,0,grounding_no_url,kept
DP-00278,0,grounding_no_url,kept
DP-00280,0,grounding_no_url,kept
DP-00281,0,grounding_no_url,kept
DP-00283,0,grounding_no_url,kept
DP-00282,0,grounding_no_url,kept
DP-00284,0,grounding_no_url,kept
DP-00285,0,grounding_no_url,kept
DP-00286,0,grounding_no_url,kept
DP-00287,0,ambiguous_answer|grounding_no_url,quarantine
DP-00288,0,grounding_no_url,kept
DP-00289,0,grounding_no_url,kept
DP-00290,0,grounding_no_url,kept
DP-00291,0,grounding_no_url,kept
DP-00292,0,grounding_no_url,kept
DP-00293,0,grounding_no_url,kept
DP-00294,0,grounding_no_url,kept
DP-00295,0,grounding_no_url,kept
DP-00296,0,grounding_no_url,kept
DP-00297,0,grounding_no_url,kept
DP-00298,0,grounding_no_url,kept
DP-00299,0,grounding_no_url,kept
DP-00300,0,grounding_no_url,kept
DP-00301,0,grounding_no_url,kept
DP-00302,0,grounding_no_url,kept
DP-00303,0,grounding_no_url,kept
DP-00304,0,grounding_no_url,kept
DP-00305,0,grounding_no_url,kept
DP-00306,0,grounding_no_url,kept
DP-00307,0,ambiguous_answer|grounding_no_url,quarantine
DP-00308,0,grounding_no_url,kept
DP-00309,0,grounding_no_url,kept
DP-00310,0,grounding_no_url,kept
DP-00312,0,grounding_no_url,kept
DP-00311,0,grounding_no_url,kept
DP-00313,0,grounding_no_url,kept
DP-00314,0,grounding_no_url,kept
DP-00315,0,grounding_no_url,kept
DP-00316,0,grounding_no_url,kept
DP-00317,0,grounding_no_url,kept
DP-00318,0,grounding_no_url,kept
DP-00319,0,grounding_no_url,kept
DP-00320,0,grounding_no_url,kept
DP-00322,0,grounding_no_url,kept
DP-00321,0,grounding_no_url,kept
DP-00323,0,grounding_no_url,kept
DP-00324,0,grounding_no_url,kept
DP-00325,0,grounding_no_url,kept
DP-00326,0,grounding_no_url,kept
DP-00327,0,grounding_no_url,kept
DP-00328,0,grounding_no_url,kept
DP-00329,0,grounding_no_url,kept
DP-00330,0,grounding_no_url,kept
DP-00331,0,grounding_no_url,kept
DP-00333,0,grounding_no_url,kept
DP-00332,0,grounding_no_url,kept
DP-00334,0,grounding_no_url,kept
DP-00335,0,grounding_no_url,kept
DP-00336,0,grounding_no_url,kept
DP-00337,0,grounding_no_url,kept
DP-00338,0,grounding_no_url,kept
DP-00339,0,grounding_no_url,kept
DP-00340,0,grounding_no_url,kept
DP-00341,0,grounding_no_url,kept
DP-00342,0,grounding_no_url,kept
DP-00343,0,grounding_no_url,kept
DP-00344,0,grounding_no_url,kept
DP-00345,0,grounding_no_url,kept
DP-00346,0,grounding_no_url,kept
DP-00347,0,grounding_no_url,kept
DP-00348,0,grounding_no_url,kept
DP-00350,0,grounding_no_url,kept
DP-00349,0,grounding_no_url,kept
DP-00351,0,grounding_no_url,kept
DP-00353,0,grounding_no_url,kept
DP-00352,0,grounding_no_url,kept
DP-00354,0,grounding_no_url,kept
DP-00355,0,grounding_no_url,kept
DP-00356,0,grounding_no_url,kept
DP-00357,0,grounding_no_url,kept
DP-00358,0,grounding_no_url,kept
DP-00359,0,grounding_no_url,kept
DP-00360,0,grounding_no_url,kept
DP-00361,0,grounding_no_url,kept
DP-00362,0,grounding_no_url,kept
DP-00363,0,grounding_no_url,kept
DP-00364,0,grounding_no_url,kept
DP-00365,0,grounding_no_url,kept
DP-00366,0,grounding_no_url,kept
DP-00367,0,grounding_no_url,kept
DP-00368,0,grounding_no_url,kept
DP-00369,0,grounding_no_url,kept
DP-00370,0,grounding_no_url,kept
DP-00371,0,grounding_no_url,kept
DP-00373,0,grounding_no_url,kept
DP-00372,0,grounding_no_url,kept
DP-00374,0,grounding_no_url,kept
DP-00375,0,grounding_no_url,kept
DP-00376,0,grounding_no_url,kept
DP-00377,0,grounding_no_url,kept
DP-00378,0,grounding_no_url,kept
DP-00379,0,grounding_no_url,kept
DP-00380,0,grounding_no_url,kept
DP-00382,0,grounding_no_url,kept
DP-00381,0,grounding_no_url,kept
DP-00383,0,grounding_no_url,kept
DP-00384,0,grounding_no_url,kept
DP-00385,0,grounding_no_url,kept
DP-00386,0,grounding_no_url,kept
DP-00387,0,grounding_no_url,kept
DP-00388,0,grounding_no_url,kept
DP-00389,0,grounding_no_url,kept
DP-00390,0,grounding_no_url,kept
DP-00391,0,grounding_no_url,kept
DP-00394,0,grounding_no_url,kept
DP-00392,0,grounding_no_url,kept
DP-00393,0,grounding_no_url,kept
DP-00395,0,grounding_no_url,kept
DP-00396,0,grounding_no_url,kept
DP-00397,0,grounding_no_url,kept
DP-00398,0,grounding_no_url,kept
DP-00399,0,grounding_no_url,kept
DP-00400,0,grounding_no_url,kept
DP-00401,0,grounding_no_url,kept
DP-00402,0,grounding_no_url,kept
DP-00403,0,grounding_no_url,kept
DP-00404,0,grounding_no_url,kept
DP-00408,0,grounding_no_url,kept
DP-00405,0,grounding_no_url,kept
DP-00406,0,grounding_no_url,kept
DP-00407,0,grounding_no_url,kept
DP-00409,0,grounding_no_url,kept
DP-00410,0,grounding_no_url,kept
DP-00411,0,grounding_no_url,kept
DP-00412,0,grounding_no_url,kept
DP-00413,0,grounding_no_url,kept
DP-00414,0,grounding_no_url,kept
DP-00415,0,grounding_no_url,kept
DP-00417,0,grounding_no_url,kept
DP-00416,0,grounding_no_url,kept
DP-00418,0,grounding_no_url,kept
DP-00419,0,ambiguous_answer|grounding_no_url,quarantine
DP-00420,0,grounding_no_url,kept
DP-00422,0,grounding_no_url,kept
DP-00421,0,grounding_no_url,kept
DP-00424,0,grounding_no_url,kept
DP-00423,0,grounding_no_url,kept
DP-00425,0,grounding_no_url,kept
DP-00426,0,grounding_no_url,kept
DP-00427,0,grounding_no_url,kept
DP-00428,0,grounding_no_url,kept
DP-00429,0,grounding_no_url,kept
DP-00430,0,grounding_no_url,kept
DP-00431,0,grounding_no_url,kept
DP-00433,0,grounding_no_url,kept
DP-00435,0,grounding_no_url,kept
DP-00432,0,grounding_no_url,kept
DP-00436,0,grounding_no_url,kept
DP-00434,0,grounding_no_url,kept
DP-00437,0,grounding_no_url,kept
DP-00438,0,grounding_no_url,kept
DP-00439,0,grounding_no_url,kept
DP-00440,0,grounding_no_url,kept
DP-00441,0,grounding_no_url,kept
DP-00442,0,grounding_no_url,kept
DP-00443,0,grounding_no_url,kept
DP-00444,0,grounding_no_url,kept
DP-00445,0,grounding_no_url,kept
DP-00446,0,grounding_no_url,kept
DP-00447,0,grounding_no_url,kept
DP-00448,0,grounding_no_url,kept
DP-00449,0,grounding_no_url,kept
DP-00450,0,grounding_no_url,kept
DP-00451,0,grounding_no_url,kept
DP-00452,0,grounding_no_url,kept
DP-00455,0,grounding_no_url,kept
DP-00454,0,grounding_no_url,kept
DP-00453,0,grounding_no_url,kept
DP-00456,0,grounding_no_url,kept
DP-00457,0,grounding_no_url,kept
DP-00459,0,grounding_no_url,kept
DP-00458,0,grounding_no_url,kept
DP-00460,0,grounding_no_url,kept
DP-00461,0,grounding_no_url,kept
DP-00462,0,grounding_no_url,kept
DP-00463,0,grounding_no_url,kept
DP-00464,0,grounding_no_url,kept
DP-00465,0,grounding_no_url,kept
DP-00466,0,grounding_no_url,kept
DP-00467,0,grounding_no_url,kept
DP-00468,0,grounding_no_url,kept
DP-00469,0,grounding_no_url,kept
DP-00470,0,grounding_no_url,kept
DP-00471,0,grounding_no_url,kept
DP-00472,0,grounding_no_url,kept
DP-00473,0,grounding_no_url,kept
DP-00474,0,grounding_no_url,kept
DP-00475,0,grounding_no_url,kept
DP-00476,0,grounding_no_url,kept
DP-00477,0,grounding_no_url,kept
DP-00479,0,grounding_no_url,kept
DP-00478,0,grounding_no_url,kept
DP-00480,0,grounding_no_url,kept
DP-00481,0,grounding_no_url,kept
DP-00482,0,grounding_no_url,kept
DP-00483,0,grounding_no_url,kept
DP-00484,0,grounding_no_url,kept
DP-00485,0,grounding_no_url,kept
DP-00486,0,grounding_no_url,kept
DP-00487,0,grounding_no_url,kept
DP-00488,0,grounding_no_url,kept
DP-00489,0,grounding_no_url,kept
DP-00492,0,grounding_no_url,kept
DP-00491,0,grounding_no_url,kept
DP-00490,0,grounding_no_url,kept
DP-00494,0,ambiguous_answer|grounding_no_url,quarantine
DP-00493,0,grounding_no_url,kept
DP-00495,0,grounding_no_url,kept
DP-00496,0,grounding_no_url,kept
DP-00497,0,grounding_no_url,kept
DP-00498,0,grounding_no_url,kept
DP-00499,0,grounding_no_url,kept
DP-00500,0,grounding_no_url,kept
DP-00501,0,grounding_no_url,kept
DP-00503,0,grounding_no_url,kept
DP-00502,0,ambiguous_answer|grounding_no_url,quarantine
DP-00504,0,grounding_no_url,kept
DP-00505,0,grounding_no_url,kept
DP-00506,0,grounding_no_url,kept
DP-00507,0,grounding_no_url,kept
DP-00509,0,grounding_no_url,kept
DP-00508,0,grounding_no_url,kept
DP-00510,0,grounding_no_url,kept
DP-00511,0,grounding_no_url,kept
DP-00512,0,grounding_no_url,kept
DP-00513,0,grounding_no_url,kept
DP-00514,0,grounding_no_url,kept
DP-00515,0,grounding_no_url,kept
DP-00516,0,grounding_no_url,kept
DP-00517,0,grounding_no_url,kept
DP-00518,0,grounding_no_url,kept
DP-00519,0,grounding_no_url,kept
DP-00520,0,grounding_no_url,kept
DP-00521,0,ambiguous_answer|grounding_no_url,quarantine
DP-00522,0,grounding_no_url,kept
DP-00523,0,grounding_no_url,kept
DP-00524,0,grounding_no_url,kept
DP-00525,0,grounding_no_url,kept
DP-00527,0,grounding_no_url,kept
DP-00528,0,grounding_no_url,kept
DP-00526,0,grounding_no_url,kept
DP-00529,0,grounding_no_url,kept
DP-00530,0,grounding_no_url,kept
DP-00531,0,grounding_no_url,kept
DP-00532,0,grounding_no_url,kept
DP-00535,0,grounding_no_url,kept
DP-00533,0,grounding_no_url,kept
DP-00534,0,grounding_no_url,kept
DP-00536,0,grounding_no_url,kept
DP-00538,0,grounding_no_url,kept
DP-00537,0,grounding_no_url,kept
DP-00539,0,grounding_no_url,kept
DP-00540,0,grounding_no_url,kept
DP-00541,0,grounding_no_url,kept
DP-00543,0,grounding_no_url,kept
DP-00542,0,grounding_no_url,kept
DP-00544,0,grounding_no_url,kept
DP-00545,0,grounding_no_url,kept
DP-00546,0,grounding_no_url,kept
DP-00547,0,grounding_no_url,kept
DP-00548,0,grounding_no_url,kept
DP-00549,0,grounding_no_url,kept
DP-00552,0,grounding_no_url,kept
DP-00550,0,grounding_no_url,kept
DP-00551,0,grounding_no_url,kept
DP-00553,0,grounding_no_url,kept
DP-00554,0,grounding_no_url,kept
DP-00556,0,grounding_no_url,kept
DP-00557,0,grounding_no_url,kept
DP-00555,0,grounding_no_url,kept
DP-00558,0,grounding_no_url,kept
DP-00559,0,grounding_no_url,kept
DP-00560,0,grounding_no_url,kept
DP-00561,0,grounding_no_url,kept
DP-00562,0,grounding_no_url,kept
DP-00563,0,grounding_no_url,kept
DP-00564,0,grounding_no_url,kept
DP-00565,0,grounding_no_url,kept
DP-00566,0,grounding_no_url,kept
DP-00567,0,ambiguous_answer|grounding_no_url,quarantine
DP-00568,0,grounding_no_url,kept
DP-00569,0,grounding_no_url,kept
DP-00570,0,grounding_no_url,kept
DP-00571,0,grounding_no_url,kept
DP-00572,0,grounding_no_url,kept
DP-00573,0,grounding_no_url,kept
DP-00575,0,grounding_no_url,kept
DP-00574,0,grounding_no_url,kept
DP-00576,0,grounding_no_url,kept
DP-00577,0,grounding_no_url,kept
DP-00578,0,grounding_no_url,kept
DP-00579,0,grounding_no_url,kept
DP-00581,0,grounding_no_url,kept
DP-00580,0,grounding_no_url,kept
DP-00582,0,grounding_no_url,kept
DP-00583,0,grounding_no_url,kept
DP-00584,0,grounding_no_url,kept
DP-00585,0,grounding_no_url,kept
DP-00586,0,grounding_no_url,kept
DP-00588,0,grounding_no_url,kept
DP-00587,0,grounding_no_url,kept
DP-00589,0,grounding_no_url,kept
DP-00591,0,grounding_no_url,kept
DP-00590,0,grounding_no_url,kept
DP-00593,0,grounding_no_url,kept
DP-00592,0,grounding_no_url,kept
DP-00594,0,grounding_no_url,kept
DP-00595,0,grounding_no_url,kept
DP-00596,0,grounding_no_url,kept
DP-00597,0,grounding_no_url,kept
DP-00598,0,grounding_no_url,kept
DP-00601,0,grounding_no_url,kept
DP-00602,0,grounding_no_url,kept
DP-00599,0,grounding_no_url,kept
DP-00600,0,grounding_no_url,kept
DP-00603,0,grounding_no_url,kept
DP-00604,0,grounding_no_url,kept
DP-00605,0,grounding_no_url,kept
DP-00606,0,grounding_no_url,kept
DP-00607,0,grounding_no_url,kept
DP-00608,0,ambiguous_answer|grounding_no_url,quarantine
DP-00609,0,grounding_no_url,kept
DP-00611,0,grounding_no_url,kept
DP-00612,0,grounding_no_url,kept
DP-00613,0,grounding_no_url,kept
DP-00614,0,grounding_no_url,kept
DP-00616,0,grounding_no_url,kept
DP-00615,0,grounding_no_url,kept
DP-00617,0,grounding_no_url,kept
DP-00618,0,grounding_no_url,kept
DP-00619,0,grounding_no_url,kept
DP-00610,0,grounding_no_url,kept
DP-00620,0,grounding_no_url,kept
DP-00621,0,grounding_no_url,kept
DP-00622,0,grounding_no_url,kept
DP-00623,0,grounding_no_url,kept
DP-00624,0,grounding_no_url,kept
DP-00625,0,grounding_no_url,kept
DP-00626,0,grounding_no_url,kept
DP-00628,0,grounding_no_url,kept
DP-00627,0,grounding_no_url,kept
DP-00629,0,grounding_no_url,kept
DP-00630,0,grounding_no_url,kept
DP-00631,0,grounding_no_url,kept
DP-00632,0,grounding_no_url,kept
DP-00633,0,grounding_no_url,kept
DP-00635,0,grounding_no_url,kept
DP-00634,0,grounding_no_url,kept
